City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
461,Las Cruces,US,71.71,32.3123,-106.7783,La Quinta Inn Las Cruces Mesilla Valley
462,Dorado,PR,82.18,18.4588,-66.2677,Embassy Suites Dorado
463,Yenagoa,NG,79.12,4.9247,6.2642,Peretimi Hotels Ltd.
470,Taltal,CL,72.93,-25.4,-70.4833,Hostería Taltal
471,Calama,CL,75.69,-22.4667,-68.9333,Apart Hotel Geotel Calama
472,Alta Floresta,BR,77.95,-9.8756,-56.0861,Villas Hotel
475,Huarmey,PE,77.22,-10.0681,-78.1522,Hostal Santa Rosa
483,Itarema,BR,79.9,-2.9248,-39.9167,Pousada Oásis
487,Cap Malheureux,MU,80.47,-19.9842,57.6142,Cape Garden
488,Pangkalanbuun,ID,73.47,-2.6833,111.6167,Hotel Tiara
491,Tamandare,BR,79.81,-8.7597,-35.1047,Pousada Baia dos Corais
492,Saint-Georges,GD,78.22,12.0564,-61.7485,Deyna's City Inn
493,Gorontalo,ID,73.44,0.5412,123.0595,Grand City Hotel
500,Guarapari,BR,79.9,-20.6667,-40.4975,Osmar Hotel
507,Morondava,MG,77.02,-20.2833,44.2833,Hotel Sharon Menabe
508,Port-Gentil,GA,82.36,-0.7193,8.7815,Tara-Mé
510,Sechura,PE,81.23,-5.5569,-80.8222,Hospedaje Claritza
520,Piacabucu,BR,79.84,-10.4056,-36.4344,O Leão
523,Mersing,MY,76.06,2.4312,103.8405,Mersing Inn Hotel
525,Banyo,CM,77.59,6.75,11.8167,Hôtel Amin
531,Hervey Bay,AU,76.3,-25.2986,152.8535,Hervey Bay Hotel
534,Ambanja,MG,74.08,-13.6833,48.45,Hôtel Salama Rose
539,Byron Bay,AU,71.94,-28.65,153.6167,Lord Byron Resort
543,Bathsheba,BB,79.41,13.2167,-59.5167,Atlantis Hotel
