City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Roald,NO,2023-03-04 22:01:38,62.5833,6.1333,34.75,69,40,8.05
67,Saint Pete Beach,US,2023-03-04 22:01:38,27.7253,-82.7412,84.25,68,0,16.11
68,Carnarvon,AU,2023-03-04 22:01:38,-24.8667,113.6333,77.34,67,0,21.21
69,Wucheng,CN,2023-03-04 22:01:39,29.6008,118.175,48.96,64,1,1.39
70,Ancud,CL,2023-03-04 22:01:39,-41.8697,-73.8203,56.91,72,83,10.4
71,Bengkulu,ID,2023-03-04 22:01:40,-3.8004,102.2655,73.13,90,95,4.29
72,Solnechnyy,RU,2023-03-04 22:01:40,50.7214,136.6319,18.77,90,87,5.97
73,Saskylakh,RU,2023-03-04 22:01:41,71.9167,114.0833,-24.47,100,95,3.31
74,Qaanaaq,GL,2023-03-04 22:01:42,77.484,-69.3632,9.68,45,0,9.37
75,Urumqi,CN,2023-03-04 22:00:57,43.801,87.6005,23.95,86,90,2.24
76,Palu,ID,2023-03-04 22:01:42,-0.8917,119.8707,73.6,95,100,1.86
77,Vestmannaeyjar,IS,2023-03-04 22:01:43,63.4427,-20.2734,40.51,83,99,12.68
78,Vaini,TO,2023-03-04 21:59:34,-21.2,-175.2,86.16,79,75,17.27
79,Tasiilaq,GL,2023-03-04 21:59:21,65.6145,-37.6368,28.29,93,63,7.16
80,Mezhdurechensk,RU,2023-03-04 22:01:44,53.6942,88.0603,19.08,95,100,5.61
81,San Miguel,SV,2023-03-04 22:01:44,13.4833,-88.1833,92.26,40,9,10.29
82,Port Hardy,CA,2023-03-04 22:01:44,50.6996,-127.4199,44.78,70,40,16.11
83,Mar Del Plata,AR,2023-03-04 21:58:17,-38.0023,-57.5575,68.02,78,20,11.5
84,Yeppoon,AU,2023-03-04 22:01:45,-23.1333,150.7333,74.98,78,31,11.34
85,Saint-Philippe,RE,2023-03-04 22:01:45,-21.3585,55.7679,76.59,88,100,3.06
86,Port Alfred,ZA,2023-03-04 22:01:46,-33.5906,26.891,69.19,96,11,7.76
87,Amahai,ID,2023-03-04 22:01:46,-3.3333,128.9167,78.42,82,100,4.63
88,Soure,BR,2023-03-04 22:01:46,-0.7167,-48.5233,78.48,84,100,9.15
89,Kaitangata,NZ,2023-03-04 22:01:47,-46.2817,169.8464,53.37,73,78,4.32
90,Erenhot,CN,2023-03-04 22:01:47,43.6475,111.9767,33.76,30,50,10.65
91,Faanui,PF,2023-03-04 22:02:48,-16.4833,-151.75,82.04,71,100,9.33
92,Soyo,AO,2023-03-04 22:02:48,-6.1349,12.3689,78.98,80,99,6.78
93,Provideniya,RU,2023-03-04 22:02:48,64.3833,-173.3,22.51,97,100,7.56
94,Luderitz,NA,2023-03-04 22:02:49,-26.6481,15.1594,61.9,85,0,4.05
95,Puerto Del Rosario,ES,2023-03-04 22:02:49,28.5004,-13.8627,64.15,77,20,8.05
96,Mitu,CO,2023-03-04 22:02:50,1.1983,-70.1733,79.16,92,97,1.74
97,San Fernando,PH,2023-03-04 22:02:50,15.0286,120.6898,73.13,74,74,6.29
98,Watsa,CD,2023-03-04 22:02:51,3.0372,29.5355,69.22,64,100,3.83
99,Sungairaya,ID,2023-03-04 22:02:51,0.7,108.9,75.15,93,100,8.14
